num,svn_id,role_on_project,project_name
996,billie,PMC,Apache Accumulo
1001,billie,Committer,Apache Accumulo
1880,billie,NA,Accumulo
1974,billie,NA,Ambari
2552,bsullivan,NA,MyFaces
911,bo0911,Contributor,Apache Syncope
2763,bo2763,NA,Syncope
1800,bo1800,Contributor,Apache Syncope
251,bob,Committer,Apache Commons CLI
1249,bob,Committer,Apache Commons CLI
1304,werken,Committer,Apache Commons Jelly
2002,rnettleton,NA,Ambari
682,bo0682,Emeritus Committer,Apache River
481,boryas,Committer,Apache Hadoop
2307,boryas,NA,Hadoop
1468,boryas,Committer,Apache Hadoop
2627,shulmanb,NA,REEF
2571,bzhang,NA,Oozie
2021,br2021,NA,Ambari
2308,brandonli,NA,Hadoop
1469,brandonli,Committer,Apache Hadoop
2456,br2456,NA,Ignite
242,brett,PMC Chair,Apache Continuum
593,brett,PMC Member,Apache Maven
1018,brett,PMC Member,Apache Archiva
118,pradine,Committer,Apache Axis
1105,pradine,Committer,Apache Axis2
261,bdunbar,Committer,Apache Commons Configuration
1259,bdunbar,Java Developer,Apache Commons Configuration
1267,bdunbar,Committer,Apache Commons Configuration
8,brianm,Committer,ActiveMQ
913,brianm,Committer,Apache ActiveMQ
1905,brianm,NA,ActiveMQ
568,bcm,Emeritus Member,Apache Jackrabbit
1584,bcm,Emeritus Committer,Apache Jackrabbit
2223,brock,NA,Flume
1523,brock,PMC,Apache Hive
988,br0988,PMC,Apache ANT
2236,br2236,NA,Geronimo
698,bsnyder,Committer,Apache ServiceMix
726,bsnyder,PMC,Apache ServiceMix
914,bsnyder,Committer,Apache ActiveMQ
1211,bsnyder,Committer,Apache Camel
1906,bsnyder,NA,ActiveMQ
2127,bsnyder,NA,Camel
2662,bsnyder,NA,ServiceMix
1324,br1324,Committer,Apache Geronimo
9,bsnyder,Committer,ActiveMQ
196,bsnyder,Committer,Apache Camel
1683,bsnyder,Committer,Apache ServiceMix
1714,bsnyder,PMC,Apache ServiceMix
322,brudav,Committer,Apache Commons Net
1312,brudav,Committer,Apache Commons Net
1174,bmahe,committer,Apache Bigtop
2764,br2764,NA,Syncope
1801,br1801,Contributor,Apache Syncope
2464,cdamioli,NA,Jackrabbit
1560,cdamioli,Committer,Apache Jackrabbit
2048,ca2048,NA,Ambari
1160,ca1160,Committer,Apache Batik
762,thecarlhall,Committer,Apache Sling
1756,thecarlhall,Java Developer,Apache Sling
536,cws,Committer,Apache Hive
2409,cws,NA,Hive
1524,cws,VP,Apache Hive
243,carlos,PMC Member,Apache Continuum
594,carlos,PMC Member,Apache Maven
1019,carlos,PMC Member,Apache Archiva
2100,carlosvara,NA,BVal
1147,carlosvara,PMC,Apache BVal
170,carlosvara,PMC,Apache Bean Validation
181,carlosvara,Committer,Apache Bean Validation
757,cziegeler,Committer,Apache Sling
764,cziegeler,PMC,Apache Sling
1746,cziegeler ,Chair,Apache Sling
1758,cziegeler ,PMC Chair,Apache Sling
635,ca0635,Committer,Apache OpenJPA
2580,ca2580,NA,OpenJPA
1634,ca1634,Committer,Apache OpenJPA
1872,ce1872,Committer,Apache XMLBeans
946,croberts,PMC,Apache Ambari
1975,croberts,NA,Ambari
689,chamikara,Committer,Apache Sandesha
1674,chamikara,Committer,Apache Sandesha
146,chamil,Committer,Apache Axis
1133,chamil,Committer,Apache Axis2
2176,chaoshi,NA,Crunch
2410,sunchao,NA,Hive
2572,brookwc,NA,Oozie
2641,ch2641,NA,Sentry
2451,ctang,NA,Hive
789,charith,Committer,Apache Synapse
1784,charith,Committer,Apache Synapse
2747,charith,NA,Synapse
132,charitha,Committer,Apache Axis
1119,charitha,Committer,Apache Axis2
699,cmouillard,Committer,Apache ServiceMix
2663,cmouillard,NA,ServiceMix
1684,cmouillard,Committer,Apache ServiceMix
35,ch0035,Contributor,ActiveMQ
1932,ch1932,NA,ActiveMQ
10,cmoulliard,Committer,ActiveMQ
915,cmoulliard,Committer,Apache ActiveMQ
1212,cmoulliard,Committer,Apache Camel
1907,cmoulliard,NA,ActiveMQ
2128,cmoulliard,NA,Camel
2501,cmoulliard,NA,Karaf
197,cmoulliard,Committer,Apache Camel
576,cmoulliard,Committer,Apache Karaf
589,cmoulliard,PMC,Apache Karaf
1594,cmoulliard,NA,Apache Karaf
742,ch0742,Contributor,Apache ServiceMix
2693,ch2693,NA,ServiceMix
1729,ch1729,Contributor,Apache ServiceMix
780,chathura_ce,Committer,Apache Synapse
1775,chathura_ce,Committer,Apache Synapse
2738,chathura_ce,NA,Synapse
836,ch0836,Committer,Apache Woden
98,chathura,Committer,Apache Axiom
123,chathura,Committer,Apache Axis
1084,chathura,Committer,Apache Axiom
1110,chathura,Committer,Apache Axis2
1865,ch1865,Committer,Apache Woden
1948,chathuri,NA,Airavata
100,chatra,Committer,Apache Axiom
130,chatra,Committer,Apache Axis
1086,chatra,Committer,Apache Axiom
1117,chatra,Committer,Apache Axis2
2020,ch2020,NA,Ambari
2431,chengxiang,NA,Hive
655,cheolsoo,Committer,Apache Pig
546,chetanm,Committer,Apache Jackrabbit
2465,chetanm,NA,Jackrabbit
1561,chetanm,Committer,Apache Jackrabbit
2448,chinnaraol,NA,Hive
112,ch0112,Contributor,Apache Axiom
157,ch0157,Contributor,Apache Axis
1099,ch1099,Contributor,Apache Axiom
1144,ch1144,Contributor,Apache Axis2
419,mattmann,Committer,Apache Gora
1376,mattmann,Committer,Apache Gora
1390,mattmann,PMC,Apache Gora
1394,mattmann,Champion,Apache Gora
1949,mattmann,NA,Airavata
2294,mattmann,NA,Gora
2557,mattmann,NA,Nutch
2766,mattmann,NA,Tajo
700,ccustine,Committer,Apache ServiceMix
727,ccustine,PMC,Apache ServiceMix
2664,ccustine,NA,ServiceMix
571,ccustine,Committer,Apache Karaf
584,ccustine,PMC,Apache Karaf
1588,ccustine,NA,Apache Karaf
1685,ccustine,Committer,Apache ServiceMix
1713,ccustine,PMC,Apache ServiceMix
444,cdouglas,PMC,Apache Hadoop
482,cdouglas,Committer,Apache Hadoop
2309,cdouglas,NA,Hadoop
2522,cdouglas,NA,Knox
2573,cdouglas,NA,Oozie
2631,cdouglas,NA,REEF
1424,cdouglas,PMC,Apache Hadoop
1470,cdouglas,Committer,Apache Hadoop
34,ch0034,Contributor,ActiveMQ
1193,ch1193,Contributor,Apache Camel
1931,ch1931,NA,ActiveMQ
2156,ch2156,NA,Camel
222,ch0222,Contributor,Apache Camel
2535,ch2535,NA,Mesos
2311,cnauroth,NA,Hadoop
2784,cnauroth,NA,Zookeeper
1472,cnauroth,Committer,Apache Hadoop
53,ch0053,Contributor,Apache Aries
1032,ch1032,Contributor,Apache Aries
2055,ch2055,NA,Aries
1213,cmueller,Committer,Apache Camel
2129,cmueller,NA,Camel
198,cmueller,Committer,Apache Camel
1908,ceposta,NA,ActiveMQ
2130,ceposta,NA,Camel
2157,ch2157,NA,Camel
743,ch0743,Contributor,Apache ServiceMix
2056,ch2056,NA,Aries
2694,ch2694,NA,ServiceMix
1214,cschneider,Committer,Apache Camel
2131,cschneider,NA,Camel
2505,cschneider,NA,Karaf
2758,cschneider,NA,Syncope
1730,ch1730,Contributor,Apache ServiceMix
199,cschneider,Committer,Apache Camel
580,cschneider,Committer,Apache Karaf
1599,cschneider,NA,Apache Karaf
1798,cschneider,committer,Apache Syncope
993,ch0993,PMC,Apache ANT
368,ch0368,Committer,Apache Geronimo
2238,ch2238,NA,Geronimo
1326,ch1326,Committer,Apache Geronimo
369,ch0369,Committer,Apache Geronimo
2239,ch2239,NA,Geronimo
1327,ch1327,Committer,Apache Geronimo
2029,ch2029,NA,Ambari
916,davsclaus,Committer,Apache ActiveMQ
1215,davsclaus,Committer,Apache Camel
1909,davsclaus,NA,ActiveMQ
2132,davsclaus,NA,Camel
11,davsclaus,Committer,ActiveMQ
200,davsclaus,Committer,Apache Camel
547,ckoell,Committer,Apache Jackrabbit
2466,ckoell,NA,Jackrabbit
1562,ckoell,Committer,Apache Jackrabbit
756,cl0756,Committer,Apache Sling
1745,clemens,Java Developer,Apache Sling
2642,co2642,NA,Sentry
2716,colin,NA,Sqoop
12,cmacnaug,Committer,ActiveMQ
917,cmacnaug,Committer,Apache ActiveMQ
2310,cmccabe,NA,Hadoop
1471,cmccabe,Committer,Apache Hadoop
904,coheigea,Committer,Apache Syncope
905,coheigea,PMC,Apache Syncope
2133,coheigea,NA,Camel
2754,coheigea,NA,Syncope
1794,coheigea,PMC member,Apache Syncope
991,co0991,PMC Chair,Apache ANT
654,chandec,Documentation,Apache Pig
314,costin,Committer,Apache Commons Logging
636,cr0636,Committer,Apache OpenJPA
2581,cr2581,NA,OpenJPA
1635,cr1635,Committer,Apache OpenJPA
275,craigmcc,Committer,Apache Commons EL
311,craigmcc,Committer,Apache Commons Logging
318,craigmcc,Committer,Apache Commons Modeler
1301,craigmcc,Committer,Apache Commons JXPath
2184,u2184,NA,Db
2185,Dag Wanvik,NA,Db
919,daggerrz,Committer,Apache ActiveMQ
1911,daggerrz,NA,ActiveMQ
14,daggerrz,Committer,ActiveMQ
338,da0338,PMC,Apache Geronimo
382,da0382,Committer,Apache Geronimo
701,dain,Committer,Apache ServiceMix
920,dain,Committer,Apache ActiveMQ
2665,dain,NA,ServiceMix
1276,da1276,Contributor,Apache Commons DBCP
15,dain,Committer,ActiveMQ
1686,dain,Committer,Apache ServiceMix
702,dandiep,Committer,Apache ServiceMix
2666,dandiep,NA,ServiceMix
1687,dandiep,Committer,Apache ServiceMix
1747,dklco,Java Developer,Apache Sling
54,da0054,PMC,Apache Aries
1033,da1033,PMC,Apache Aries
2057,da2057,NA,Aries
370,da0370,Committer,Apache Geronimo
1328,da0370,Committer,Apache Geronimo
2240,da2240,NA,Geronimo
656,daijy,PMC member,Apache Pig
669,daijy,Committer,Apache Pig
882,daijy,Committer,Apache HCatalog
2432,daijy,NA,Hive
2609,daijy,NA,Pig
1550,daijy,Committer,Apache Hive
1661,daijy,PMC member,Apache PIG
323,dfs,Committer,Apache Commons Net
1313,dfs,Committer,Apache Commons Net
596,dkulp,PMC Member,Apache Maven
1217,dkulp,Committer,Apache Camel
2135,dkulp,NA,Camel
2667,dkulp,NA,ServiceMix
202,dkulp,Committer,Apache Camel
1688,dkulp,Committer,Apache ServiceMix
